"","V1","business_id","type","Day","Hour","Review_Number"
"1","1","7KPBkxAOEtb3QeIL9PEErg","checkin","Fri","0","2"
"2","2","kREVIrSBbtqBhIYkTccQUg","checkin","Mon","13","1"
"3","3","tJRDll5yqpZwehenzE2cSg","checkin","Thu","0","1"
"4","4","nhZ1HGWD8lMErdn3FuWuTQ","checkin","Fri","0","1"
"5","5","8bY6M2yiWOF2ilfmGS34Fw","checkin","Sat","11","1"
"6","6","zNVot5_XHsxwfKdiFjk_aA","checkin","Mon","0","1"
"7","7","BH0K6SxPnY3wTRB7tA27hQ","checkin","Fri","0","1"
"8","8","dPxL6P_Gp74CqSPuL59Srg","checkin","Tue","0","2"
"9","9","aZbbt_RPKV8vUY7GWiEEyw","checkin","Thu","18","1"
"10","10","Fu-egVPTQZ3lNYM0PhpQiQ","checkin","Thu","14","1"
"11","11","HRIUU2Z4EsZBo59P0I2ZYA","checkin","Fri","0","1"
"12","12","Y6L37i6rkqDzMesTN5UI2Q","checkin","Thu","0","1"
"13","13","WllBAxQd6w3EZHYNOKRoMw","checkin","Mon","20","1"
"14","14","GbSKygYKUy13yoZZdVxJuQ","checkin","Thu","12","1"
"15","15","FQM4pVt1jeZcBGLIsXhXNA","checkin","Sat","0","1"
"16","16","0WsCtzG8xazAmFA5HhQE0A","checkin","Sun","0","2"
"17","17","yEWrdUczj1_9KTUJEVfIIg","checkin","Sat","0","1"
"18","18","RGeEUbXNFPqozawExgvy_g","checkin","Sat","14","1"
"19","19","JN6287XepTV2wOiwnq5joA","checkin","Wed","0","1"
"20","20","vl02XdFVoXC-s_Y4WVvL-g","checkin","Mon","12","1"
"21","21","zek4x_a6Io6mU67bc4ahXA","checkin","Fri","0","1"
"22","22","IKCxhUxfDPOQw9GjT3akHA","checkin","Sun","0","2"
"23","23","i4y0CrKYLh_Qiv6JGyABJw","checkin","Sat","0","1"
"24","24","0dcNFXs5yMj1n2RtkgIoHg","checkin","Tue","0","2"
"25","25","bANAMVwSMR-UAA54WdRsIA","checkin","Sat","15","1"
"26","26","4zOyZff4-FemUqRW3GXuCA","checkin","Thu","0","1"
"27","27","RNkVt3T_3DQjXbXTM2DIjg","checkin","Sun","0","1"
"28","28","5A2BcDVbWGM7JEUgSfFleA","checkin","Sat","0","2"
"29","29","vkoakhm0G9kMEhQzjFo86w","checkin","Mon","15","1"
"30","30","KH6AnamatNNCKszLpopjOg","checkin","Thu","0","1"
"31","31","0Fln0xZBGfxvRd66pbZ3ag","checkin","Fri","0","1"
"32","32","j-BlKJySXWsURdYllarjXw","checkin","Wed","13","3"
"33","33","N6VRRM1XZ6c92WBhWWu1XQ","checkin","Sun","0","1"
"34","34","P2zXpZN7UTDDM9_Q7Bs8Jg","checkin","Sun","0","2"
"35","35","gOeU8MmVBzmaOWA191hLpg","checkin","Wed","12","1"
"36","36","IpQG7s5l7ba5NxyzTxn7pg","checkin","Fri","0","3"
"37","37","1-rUjW65plaAjIMVMJjP_Q","checkin","Thu","2","1"
"38","38","sthJQ6XD4iITtivlJ4XtUQ","checkin","Sat","14","1"
"39","39","aXXacUBcCcLPtPSuerqtOg","checkin","Wed","16","1"
"40","40","xkL44jsxVw_N8_6zjTuBNg","checkin","Fri","19","1"
"41","41","ixKdWyaYb44IDJHXXQWCpA","checkin","Sun","14","1"
"42","42","qvLb9YeW4g0naTBgFSjHww","checkin","Mon","0","4"
"43","43","b7giaWVhjIjhlF7S2ezZAw","checkin","Fri","0","1"
"44","44","MSFFEZB0T1RQPJU8CfQjNA","checkin","Fri","0","1"
"45","45","dwtXvp2llq2BYSXQvJpHYw","checkin","Sat","11","2"
"46","46","T_Ggmjt-Wke9Sc9XYRscpQ","checkin","Fri","17","1"
"47","47","I9vXZQEpWvaGV69eVRwT3g","checkin","Sat","0","1"
"48","48","iX2rl6mNNu2TjoRbiX6wSQ","checkin","Sat","0","1"
"49","49","jAYJzBpURZAr_V8a0sWUBg","checkin","Thu","12","1"
"50","50","6iq7LAJRSstbaYcLzQ2EzA","checkin","Fri","0","1"
"51","51","VZxgDbsXnieH-qseiL8wYA","checkin","Thu","10","1"
"52","52","Ohg2XAUIFeilmou8BoMH3A","checkin","Mon","14","1"
"53","53","6RxtO_MxnLwZ7D7iYDE8Jg","checkin","Fri","0","1"
"54","54","SNNrb5T4dn3DMq410HIpxw","checkin","Fri","0","1"
"55","55","gCfRcOwBLJEF1C6ilqhFuA","checkin","Mon","0","1"
"56","56","-UCODDgYpTjlGtz_5AVw_g","checkin","Fri","0","2"
"57","57","rJa7cqN4pakDoZOgHAefZA","checkin","Tue","16","1"
"58","58","tlJzFbabuRBq3soBXv45mw","checkin","Fri","13","1"
"59","59","wsHuESTgmZfmI5YMXAMEhA","checkin","Mon","0","1"
"60","60","D8ktVLRVniwU62NumGREEg","checkin","Fri","1","1"
"61","61","ybjN0J8hmsHKrbYLxRh0jg","checkin","Wed","0","1"
"62","62","7sakqP2av046jujj-ERHhg","checkin","Sat","0","1"
"63","63","4iuFGkrZYnWZgOaxNantdw","checkin","Fri","1","1"
"64","64","ky4AyA_y6gx20tf95mZxSA","checkin","Fri","0","1"
"65","65","G8Js5hyLykjo8xVfIT4P5Q","checkin","Sat","0","1"
"66","66","a0H7W1poihF8S_OQzBs8Fw","checkin","Sat","14","1"
"67","67","_SMl9SHYnAe0oCdaPaRJYA","checkin","Sat","15","1"
"68","68","X-O1MmUgedsxP3JgiuWjUA","checkin","Sat","0","2"
"69","69","wFaLUV7m-74flUfjAOBnLw","checkin","Sun","13","1"
"70","70","qPXcpHW3OqsYCPUI3qZJGw","checkin","Wed","0","1"
"71","71","u19jgslqD_i-y9LBYFoZJg","checkin","Sun","1","1"
"72","72","xX4B41sO7yS_fyzq8zGy1g","checkin","Sat","0","1"
"73","73","6FkCrxJMq5KIgavHRqtlbQ","checkin","Tue","4","1"
"74","74","d24LIT55-aAr7l1X99vpjw","checkin","Fri","1","1"
"75","75","2pmOI_mrn1ZWB88IeiOMkA","checkin","Tue","16","1"
"76","76","KvUuXo2Fpt-rcWR13iLWHg","checkin","Wed","0","1"
"77","77","quYlYKkiZ5qRLdu-_hew7g","checkin","Sun","19","1"
"78","78","goOQKS6lKWT8rmM3SREgjQ","checkin","Sat","0","1"
"79","79","rVkuZEqw9dVQ89Jq1NIgow","checkin","Sun","0","1"
"80","80","05yzn45mHlTCbT25KmFVlQ","checkin","Fri","0","1"
"81","81","8ZL4ed3Y8_F6AgPAYxgi2g","checkin","Fri","18","1"
"82","82","0wLKvB8ui5SZdlj-r8EWtQ","checkin","Fri","15","1"
"83","83","Q-GNBSlu7J5XYo3UAOUGsg","checkin","Sun","13","1"
"84","84","qPAapVZzkR1P2xHmkntQgQ","checkin","Wed","0","1"
"85","85","lF6-H8lCiWA4UzIPXm-sAQ","checkin","Tue","0","1"
"86","86","b2596IQibXyco49ctXEupA","checkin","Fri","0","1"
"87","87","0FL1-ZegpmlG8P9kZEoZjw","checkin","Sun","21","1"
"88","88","1Xi4hGRzhXZleq37hdFLcg","checkin","Sun","14","1"
"89","89","HyZkrj_FGQvV1M27izjtMQ","checkin","Fri","1","1"
"90","90","FpW25osFTrQf2dCIzAPavQ","checkin","Fri","0","2"
"91","91","_5r_Q5aWvw33XDL58u2oSQ","checkin","Fri","0","1"
"92","92","-bRLmHs8R26dj_CaU8F5VA","checkin","Sun","14","1"
"93","93","6gDRAYnqwHDirfA5gF1sYg","checkin","Sat","0","2"
"94","94","Mw49-fHYVzKYYa-eaMo_XA","checkin","Sat","15","2"
"95","95","Vth-yacyyE3HZkbLbdkmzQ","checkin","Sat","10","1"
"96","96","gHX6fK4O7NwP03aH9qT2AQ","checkin","Sat","13","1"
"97","97","fecugmTuE9701GwqLsa9vg","checkin","Fri","23","1"
"98","98","Q5flK4fxR2roE0aCjqF_gw","checkin","Sat","0","2"
"99","99","xRC2O1i4xQMqqrkKSn7uRw","checkin","Fri","0","1"
"100","100","Al-oKob7eDmt-_Te9FHuzw","checkin","Thu","12","1"
"101","101","kvGkveYKwjk-ilqXCl_Log","checkin","Tue","2","1"
"102","102","pSXHnUevkD7ByBVbY2aNvQ","checkin","Wed","15","1"
"103","103","hCxM2MH3cDaqozUDpydXZg","checkin","Fri","0","1"
"104","104","kIi0rz1BbH-wP8o5dz-UEQ","checkin","Thu","0","1"
"105","105","glY_PSkxyM54izTHkd2mtw","checkin","Wed","2","1"
"106","106","jcsZ0uzJINSaTq6oyUU0xQ","checkin","Fri","0","1"
"107","107","3ZQxw4vY0HBuS7KeiWmyew","checkin","Sat","0","1"
"108","108","nW3Y05gCIhYAQFq6FUWihA","checkin","Fri","0","1"
"109","109","aLnnIPzhKT7CBMACh95CQg","checkin","Sun","0","1"
"110","110","XErOb3obTwM_Kby23AIYfg","checkin","Sat","20","1"
"111","111","pU7gMo344wkQphB-uGN4Mw","checkin","Thu","0","1"
"112","112","rhitftTt-4-zoByj1bVYMQ","checkin","Fri","0","2"
"113","113","FZ_edvdCN64D7JVWvm7fmw","checkin","Fri","0","1"
"114","114","bNZkOYnJ5zvx6RdK05oSEw","checkin","Wed","15","1"
"115","115","MdnYGOVa3goIGfKjrOCXqQ","checkin","Sat","0","1"
"116","116","NsF54LE_cc0OhFGPVkwDJw","checkin","Fri","0","2"
"117","117","243PQVgkx8eUzVaKCgC-gw","checkin","Thu","0","1"
"118","118","NvhXnEm3eiuKqlR5yqoMVA","checkin","Mon","12","1"
"119","119","JA6wB1XxLaJpgzoLYLU1_w","checkin","Thu","11","1"
"120","120","t6tGkwfyFKKyvzTHpy_png","checkin","Fri","0","1"
"121","121","_4KbTU8rSnPeoGU8veK0Pg","checkin","Wed","2","1"
"122","122","rv02FZ6aqHBxlGLCvilLyA","checkin","Mon","2","1"
"123","123","BT8bk6rOQ4kj8TD-hfepGQ","checkin","Sun","21","1"
"124","124","ba2xyZXG8hRb3hh7uDZs_g","checkin","Sun","0","1"
"125","125","eTjaYqh8BNiQp9T-ERMm8w","checkin","Sat","0","1"
"126","126","tZOr1d79vMvUV5XQBmcYdw","checkin","Sat","0","1"
"127","127","-49WY_TEa9ZEcRk_GnuLog","checkin","Sat","0","1"
"128","128","5YyLWps6xL372Lj2hRlPQw","checkin","Fri","0","2"
"129","129","b8YgjX2WTSbIBhp0hOP9Wg","checkin","Fri","5","1"
"130","130","1EH3UCsWkTHH4Wlwed72JA","checkin","Mon","15","1"
"131","131","rNahWvWn2ZR7o3gegaf7QA","checkin","Sun","0","1"
"132","132","I83rGp1_nWilP-ct4i8abw","checkin","Mon","0","1"
"133","133","olZxlV0rbBb88EfvJ4rsng","checkin","Sat","18","1"
"134","134","4k2o2LNXm9ibZ1lXCV80Ug","checkin","Sun","0","1"
"135","135","jvtwW6WsuiDzZyB1cl3UGA","checkin","Sat","0","3"
"136","136","BGeJhokuC2wqsSKtFz47uQ","checkin","Fri","21","1"
"137","137","cB04zZj6HyWA7bmhA5Zkcg","checkin","Fri","16","1"
"138","138","VJTz6Vjfw_2loxWwTlpwoA","checkin","Mon","1","1"
"139","139","SGmiifNsTXzvuyWSDRK48A","checkin","Wed","4","1"
"140","140","D2RoOb4UkH2azf8DgvNfUA","checkin","Mon","0","2"
"141","141","_ta7UaBqMTcF25JZy_5YHQ","checkin","Mon","0","2"
"142","142","M4XUx3T5Z05IVfNMPD3ZAg","checkin","Sat","11","1"
"143","143","Zme0-LYf44QEx4KuJXicRQ","checkin","Mon","11","1"
"144","144","6pLZrlG99_Ig8Okbsqo28A","checkin","Mon","0","2"
"145","145","t6ZOV444ggSYL0BaeAbx0Q","checkin","Sat","0","1"
"146","146","Cilu8Dbb-tTHgEBM4-0vZA","checkin","Fri","0","6"
"147","147","pq70VjUdXp5Mbn2SeXcRqw","checkin","Wed","0","1"
"148","148","3XBN60tLWqr7WZuDZsyZkA","checkin","Sat","0","1"
"149","149","UT3JrX3aUaCN1gM9l5Dv-Q","checkin","Fri","0","1"
"150","150","oKLoaYeAjRhuXX73Dzw1TQ","checkin","Tue","2","1"
"151","151","Sl52LcjsXVIFzrmck2N35A","checkin","Fri","4","1"
"152","152","NGSqXijVxL3qvrkye66BzQ","checkin","Fri","0","1"
"153","153","hjcNB15RewDgxoS4EYomLw","checkin","Sat","19","1"
"154","154","vF1w4J1ZFxZTIYGuZLSxFg","checkin","Sat","14","1"
"155","155","MQXFdfDb1UjrZngnjslmhA","checkin","Fri","0","2"
"156","156","wvoX1JCsGcNZZlGzD0EMdQ","checkin","Wed","0","2"
"157","157","wd7p41kzhMARGuEKy4-X3Q","checkin","Thu","12","1"
"158","158","ILaam0ZN5WooAh7-_65XWw","checkin","Sat","14","1"
"159","159","BQeIEeMj5_K5Az1DbSHSsw","checkin","Fri","0","2"
"160","160","piEG7Cmjg3Phvpn6ND5eLw","checkin","Fri","0","1"
"161","161","5MXId9GCUlYgokbvqayzVg","checkin","Sun","3","1"
"162","162","kYTzpbnpVDZVghVqZz7qCA","checkin","Sat","2","1"
"163","163","5hc6I32TTV9O_GodQ9GwIg","checkin","Mon","13","1"
"164","164","dwQEZBFen2GdihLLfWeexA","checkin","Fri","0","2"
"165","165","tDXDlSvKNYG0zeFTQzpR1A","checkin","Wed","18","1"
"166","166","QpRfQtlbwlmqUsq4DKjqqw","checkin","Mon","0","1"
"167","167","zituAcK3wfcMCWVRh0_2xg","checkin","Sat","12","1"
"168","168","wdk3se7e9aI35GTCiVkcyA","checkin","Mon","4","1"
"169","169","ib0cmmBquUJ0xHcsIRQthQ","checkin","Wed","2","1"
"170","170","Q9jOi1245KEyb-vehMUeFA","checkin","Fri","0","2"
"171","171","bm5PjdlaanvkE2kBGfzCHg","checkin","Fri","0","2"
"172","172","3C5cDapsxHKckHn5-cmCzg","checkin","Mon","0","2"
"173","173","MJpn_jUivKSgTtjNon63hA","checkin","Wed","1","1"
"174","174","k1FNfGvknWVC_GzirQThmA","checkin","Fri","0","1"
"175","175","an_XYEydjw2xBDUvFHqqMQ","checkin","Fri","0","2"
"176","176","wSJflDkXz9BPxiqElNe0jw","checkin","Tue","14","1"
"177","177","lxsXOZNKoKPwXgkigdWPng","checkin","Tue","1","2"
"178","178","P_8By1Xl2JxREC9MYxebmQ","checkin","Sun","0","1"
"179","179","Xs_QOxzPZETqZ3MeNStvYA","checkin","Wed","0","1"
"180","180","ApDN_1voOx_edd1u0qpBNA","checkin","Thu","17","1"
"181","181","WdE3GQf5RDnl5Pmji5S5Iw","checkin","Mon","0","1"
"182","182","Xxz0qN2tdBaqMT7WVdg4yQ","checkin","Thu","0","2"
"183","183","87dY8lfLLYv1D55ABhiq3g","checkin","Wed","0","1"
"184","184","3T-gxAOHXLmztoGcBdNTTw","checkin","Wed","15","1"
"185","185","LkTzWJtcLqKwH5Pe4tUQJw","checkin","Mon","1","1"
"186","186","gPkFL9ccZ1d_GnhJY7VDwQ","checkin","Sat","18","1"
"187","187","HhOyjFxAIVugKJOhUK1QxA","checkin","Sat","15","2"
"188","188","DMcLgReB7oz6GHeyIT3tpQ","checkin","Fri","0","1"
"189","189","ben76tu4dxcioescVNY3gg","checkin","Fri","1","1"
"190","190","49DZdMJ0BBR_gPFsoNxTpA","checkin","Mon","13","1"
"191","191","Zdj65-lKI8xn7KgGFY4mPQ","checkin","Sun","15","1"
"192","192","ecl4D6r9IiJ7xJnzWjQN-w","checkin","Sun","21","1"
"193","193","EeM2Zfji_KrjcQorUgG74A","checkin","Mon","0","1"
"194","194","HCMwXgLZ94pKGfNr-Zt57w","checkin","Sat","0","2"
"195","195","NkK79tpKyksJY7HlK6epXw","checkin","Sat","15","1"
"196","196","-6NrhIFET7iWi4d5538fiA","checkin","Sat","0","1"
"197","197","LV5sLcuUh0UNV866FjmDtw","checkin","Sun","12","1"
"198","198","G5hAg5lH4YgNj_oh1Zccmw","checkin","Thu","13","1"
"199","199","GB3L81lYwu-GuyXrbnUpUQ","checkin","Sat","12","1"
"200","200","RHVvnv008Om-LCkIf12vag","checkin","Fri","0","2"
"201","201","xahtvkGLbwU___3GMqmWUw","checkin","Mon","0","1"
"202","202","wvU01dsSRaRYQWcLorgzCw","checkin","Thu","0","1"
"203","203","qchCmKqTY46vKS1Y8zXdQQ","checkin","Sat","14","1"
"204","204","hagp9hXCrEc0Kn8qa3imSg","checkin","Mon","5","1"
"205","205","LgpK_b2psx9OQ45TtnCiLA","checkin","Tue","16","1"
"206","206","iFv9y1UCdu7AvHjSXwWwag","checkin","Sat","14","1"
"207","207","AXhIxVvmXO3ksdIXKx9SZA","checkin","Thu","1","1"
"208","208","FxVZE_tK48By-34URIacLg","checkin","Mon","0","1"
"209","209","M3KDvaPDkbxFBYZs9Ce8nw","checkin","Wed","0","1"
"210","210","zluk4cL7Ch-uRlRply42ZQ","checkin","Fri","0","2"
"211","211","PwP-eu0cEaPioyRxHbd6Qw","checkin","Mon","16","2"
"212","212","wo41OdU_iUwFofsBnVf6uw","checkin","Thu","0","6"
"213","213","dF-_fcrNyk4iZ5Pc1mr-wA","checkin","Tue","0","1"
"214","214","F_ylMGAY1khjuuvMd5pgsQ","checkin","Sat","3","1"
"215","215","EPPB8HmsxG2KzAQSno320Q","checkin","Sat","1","1"
"216","216","O54jXbKjZte4qVYabYjGjg","checkin","Fri","0","1"
"217","217","AFtg0RUKzOhupg75hwpwuQ","checkin","Tue","14","1"
"218","218","-3TbEJnrhu1cZdbbinol4A","checkin","Mon","0","1"
"219","219","1N1pVa5SYqzopS0wvlAavw","checkin","Wed","5","1"
"220","220","XaF8o-CCOV4OazVzOWLQpQ","checkin","Thu","0","1"
"221","221","QGIrK8Svogq7RAz77cz-_Q","checkin","Sat","0","1"
"222","222","TubJO3ctfa8YdVZiV7iDsg","checkin","Sun","0","1"
"223","223","Q6XXHPDzu_QXOuxn1TFFvA","checkin","Wed","0","1"
"224","224","1njD5p7-FvV8uoHzwiVYCA","checkin","Mon","0","3"
"225","225","zJbaIyp7TG8PmTJgkXNqdw","checkin","Thu","1","1"
"226","226","U1vQHdbCA0KmTmSmsRiUDA","checkin","Wed","12","1"
"227","227","O-99K8bPc6JZxpWaTYhmeg","checkin","Sun","0","1"
"228","228","dCOLeh2iEbqYUhMmhSwRTA","checkin","Thu","13","1"
"229","229","n0gAJPW7-H9cS71FC5dSqg","checkin","Tue","0","1"
"230","230","CjT9tk594dmyYJb8hS3P4A","checkin","Sun","0","1"
"231","231","fIMBFVFYfAo2g6022Q7pjQ","checkin","Sun","0","1"
"232","232","USXA_daAmAkcEzHju4Hpqw","checkin","Mon","0","1"
"233","233","2S-NV3clYHDbDEmqT8fuGg","checkin","Sun","0","2"
"234","234","t-EcsRa2ihCBNTD_-wPDaA","checkin","Wed","1","1"
"235","235","On-pcs9mLEUSb0Lx_7eDBw","checkin","Fri","1","1"
"236","236","EXr-oKAbgON2bYNinu6cyQ","checkin","Thu","14","1"
"237","237","UEAJdCKsbL8Z8JCVlVtCTg","checkin","Fri","0","3"
"238","238","k3XDcr3AI9OgWp356TV3_Q","checkin","Fri","0","2"
"239","239","nvJjfEPYFXj8sJZcbt0k-Q","checkin","Tue","0","1"
"240","240","yBufRP1YQp9vXmId_Y2iEQ","checkin","Thu","0","2"
"241","241","FhorgXn87xro7G9m-fXIwA","checkin","Sat","0","4"
"242","242","9HQVSY9-ZnrgTUF72I-4PQ","checkin","Wed","0","1"
"243","243","7loyqhdaiF0VnTsBcTmJQA","checkin","Sat","12","1"
"244","244","alRwzlcGdQOzgNTt9yoLRw","checkin","Fri","15","1"
"245","245","5n5Ieb6nnqkM15OC7frn3w","checkin","Sun","1","1"
"246","246","Q4qAYjB40J882IJ61o70Bw","checkin","Fri","0","3"
"247","247","XfO5MZI2lH1U2HsMnIsYzg","checkin","Sun","0","2"
"248","248","Vq3f04hxNdgdR1yVxogYvw","checkin","Sat","0","1"
"249","249","qymUko2-n9sn4Ziju_b_aw","checkin","Thu","13","1"
"250","250","OhMtEGOGXUqz05avA4b-1Q","checkin","Mon","0","1"
"251","251","DY13-kVCxKbocRc65c6fww","checkin","Thu","2","1"
"252","252","E8Ck06nR4NdThguOCDXpcw","checkin","Thu","14","1"
"253","253","_6eGIZJNgEM-gVVfWcGghg","checkin","Sat","1","1"
"254","254","h8Nu-YUosQRb2KIUoglJcg","checkin","Sat","0","2"
"255","255","7P9AZ2cDzSUiI9NmP6P5sw","checkin","Mon","1","1"
"256","256","k8oQ0aK4n4sNPr3nSoNOvQ","checkin","Sat","15","1"
"257","257","EU_nBm3vw-4YHNe6RWMtxw","checkin","Sun","0","2"
"258","258","gNIPdylEcV54iQJwUYHiPw","checkin","Sun","0","2"
"259","259","qVPlT07EJCA8gSdrCTk40w","checkin","Fri","0","1"
"260","260","md-sekDJzOCOcY6nbkojIA","checkin","Mon","20","1"
"261","261","9IVX-weQV6SriRVuxzkiRw","checkin","Tue","0","1"
"262","262","TxJCpcWVqSluQoNxFO_WQA","checkin","Sat","15","1"
"263","263","G_RHsvUDPpGDt3fKB4V6_g","checkin","Sat","0","1"
"264","264","ofQjrbfKDm1clYI3y8Tx5w","checkin","Sat","12","1"
"265","265","wNlpUnbCwAsMAu9Z1wc2nw","checkin","Fri","0","1"
"266","266","OUtDX1RsaZDdsunjI0rtiw","checkin","Fri","15","1"
"267","267","XO1t620R1W-J27GMcBYBZA","checkin","Fri","10","1"
"268","268","jRNRDitXWnfRaH8JGq8wXQ","checkin","Fri","0","1"
"269","269","z4g0S2U5c4JPgWhu1TWYzg","checkin","Sat","0","2"
"270","270","bgTIbJUOQQUU2UQcOYXfrg","checkin","Tue","1","1"
"271","271","UeyHx5LMFjjI4d-NTYkX9Q","checkin","Sat","15","2"
"272","272","i6CxDaUKAj-HKWijwY9yGg","checkin","Sat","0","1"
"273","273","IqXDpeNbePsW1jR7SSO57w","checkin","Sun","0","1"
"274","274","bqy16ebrqbRMW0BTOnUEnA","checkin","Thu","2","1"
"275","275","_6WB-PZ9NuAfuf3BkbwIXQ","checkin","Fri","14","1"
"276","276","SBT95W5pGGpTKbkSSXKdSw","checkin","Sat","13","1"
"277","277","dn9-HvpRJdeTGLECCFOPhw","checkin","Mon","14","1"
"278","278","Zn3GV2xa9a-8bHjUM-2sow","checkin","Thu","0","1"
"279","279","XxSF2DtVEonATGN1MF1Y5g","checkin","Sat","0","2"
"280","280","CKJZuYfYBG9SdqEJf2CsRA","checkin","Sat","0","1"
"281","281","OKi5OgCBoYTQesO82bbnOw","checkin","Sat","17","1"
"282","282","yrkRD0JIdPdHhJpdl7HKMw","checkin","Thu","12","1"
"283","283","mB3AyZoix0JiSrw96ATncg","checkin","Sat","0","1"
"284","284","Tyjw3urqkEKGXOUMh_tHJA","checkin","Wed","15","1"
"285","285","xVo5cxMo1V_Nzk7TsvEdtg","checkin","Sun","0","3"
"286","286","zkAKq_C3KTbsbkOVOmoV7A","checkin","Mon","14","1"
"287","287","W1RJtnvj53_-cDzNHRGqdQ","checkin","Mon","0","1"
"288","288","qPIgJDUf6Zh3cocMnU_9Aw","checkin","Sun","0","1"
"289","289","Ej7hnaDQ_ogZ-cjspRBowg","checkin","Fri","0","1"
"290","290","I_AS_GxdcFZEa09QLJGzeg","checkin","Sun","16","1"
"291","291","pWMX6CU3G7hR7FvUQIVR4A","checkin","Sat","0","1"
"292","292","RUyvZomtYaAU4Ryrp1-lJg","checkin","Thu","1","1"
"293","293","I81hDYqQjMaaE3p6KyRMJA","checkin","Fri","0","3"
"294","294","lia867Aug7wdfpo5t86W3Q","checkin","Fri","0","1"
"295","295","85C2ZqiCc1_qeq2vTj_Saw","checkin","Sat","0","1"
"296","296","kvM34AeKBJoQn3FJfGXWhw","checkin","Fri","16","1"
"297","297","Csx-SPPQgj_Hi3Dmp8xtpA","checkin","Fri","0","5"
"298","298","aDDuEEIUTpKYLCfHJ5Jc3g","checkin","Fri","21","1"
"299","299","yFdYAhGIGzQtp-CRKiR9aQ","checkin","Fri","0","1"
"300","300","BDf-jwJyF8EloqDdWHucGA","checkin","Mon","17","1"
"301","301","hG3GWY1xbpbpOBEqCjwMOA","checkin","Thu","14","1"
